"","sizeclass","data","area","season"
"365",1,24.3796850572191,"3",1
"885",2,29.3628434572786,"3",1
"1406",3,14.1213899788049,"3",1
"1928",4,8.17261023660852,"3",1
"2446",5,22.9077288819193,"3",1
"417",1,21.1220367520748,"4",1
"938",2,13.3987340563342,"4",1
"1460",3,3.83984481726443,"4",1
"1979",4,1.80623055592591,"4",1
"2497",5,5.68561261984077,"4",1
"470",1,16.4517527255144,"5",1
"992",2,13.3559427431462,"5",1
"1512",3,5.29535676730312,"5",1
"2030",4,3.45190545839854,"5",1
"2549",5,13.9632426972118,"5",1
"2",1,21.5610387124398,"10",1
"524",2,11.3518200743632,"10",1
"1043",3,3.85038558739738,"10",1
"1561",4,2.38803162403593,"10",1
"2082",5,8.11862527985735,"10",1
"56",1,20.5378314811163,"11",1
"575",2,14.7531273059256,"11",1
"1095",3,6.2208622557486,"11",1
"1613",4,4.30636565037442,"11",1
"2136",5,15.3575500981409,"11",1
"108",1,25.6000527199431,"12",1
"627",2,6.57411811070293,"12",1
"1145",3,1.89005891666077,"12",1
"1665",4,1.9820037911523,"12",1
"2187",5,17.7119055392845,"12",1
"158",1,17.3559686624728,"13",1
"677",2,9.05695573216978,"13",1
"1200",3,3.17549017001115,"13",1
"1720",4,1.74573062517781,"13",1
"2238",5,4.04310198784043,"13",1
"210",1,53.0134846445147,"14",1
"732",2,24.1876746964031,"14",1
"1252",3,5.91040459751695,"14",1
"1771",4,2.40370882088930,"14",1
"2290",5,5.62962121484987,"14",1
"366",1,24.5825298020553,"3",2
"888",2,29.7234980921778,"3",2
"1408",3,14.4565438740072,"3",2
"1926",4,8.34472861187913,"3",2
"2445",5,22.7012870598417,"3",2
"418",1,22.3017092692304,"4",2
"940",2,13.8786080382417,"4",2
"1459",3,3.90506475813096,"4",2
"1977",4,1.81108313162765,"4",2
"2498",5,5.65011552213217,"4",2
"472",1,17.3187210479999,"5",2
"991",2,13.8277951715224,"5",2
"1511",3,5.37871260543284,"5",2
"2031",4,3.42748977813568,"5",2
"2552",5,13.5159727099656,"5",2
"4",1,23.1638290714632,"10",2
"522",2,11.7507306841447,"10",2
"1042",3,3.9622081488065,"10",2
"1562",4,2.44324797907304,"10",2
"2084",5,8.00602212370307,"10",2
"55",1,21.6779141655646,"11",2
"574",2,14.8746186713533,"11",2
"1094",3,6.16622902275025,"11",2
"1616",4,4.22699955902963,"11",2
"2135",5,14.6559284529401,"11",2
"107",1,26.2905099589758,"12",2
"626",2,6.62883947788334,"12",2
"1148",3,1.8426139693968,"12",2
"1668",4,1.89285973145868,"12",2
"2188",5,17.1480549661308,"12",2
"160",1,17.6923577665517,"13",2
"678",2,9.10442997228407,"13",2
"1197",3,3.1502787442386,"13",2
"1718",4,1.70790269815964,"13",2
"2240",5,3.89362086207030,"13",2
"211",1,53.2951843448439,"14",2
"729",2,24.1184592572671,"14",2
"1251",3,5.85228471942423,"14",2
"1772",4,2.3676678347455,"14",2
"2292",5,5.52419984866952,"14",2
"368",1,24.5061696247618,"3",3
"887",2,29.7516023314521,"3",3
