"","sizeclass","data","area","season"
"365",1,3349.40867463651,"3",1
"885",2,2409.65983095655,"3",1
"1406",3,4113.65954925997,"3",1
"1928",4,2670.35722778587,"3",1
"2446",5,2485.32546573537,"3",1
"417",1,6041.5946972679,"4",1
"938",2,3009.47282365244,"4",1
"1460",3,3217.91930600811,"4",1
"1979",4,1648.42963505037,"4",1
"2497",5,3167.17681128779,"4",1
"470",1,4956.04604377378,"5",1
"992",2,3164.13782164294,"5",1
"1512",3,3243.41330359009,"5",1
"2030",4,2013.48587713589,"5",1
"2549",5,6575.12752656796,"5",1
"2",1,5201.58072039151,"10",1
"524",2,4004.18893567441,"10",1
"1043",3,3689.25034994031,"10",1
"1561",4,3124.03822630626,"10",1
"2082",5,7123.4102593526,"10",1
"56",1,6729.61960331412,"11",1
"575",2,5507.62970134096,"11",1
"1095",3,5919.0990190256,"11",1
"1613",4,5318.53827889651,"11",1
"2136",5,4953.55955046439,"11",1
"108",1,4924.47883648043,"12",1
"627",2,776.324309914666,"12",1
"1145",3,542.392632027557,"12",1
"1665",4,255.157462575329,"12",1
"2187",5,2516.09445871049,"12",1
"158",1,8914.991258279,"13",1
"677",2,4051.13360330296,"13",1
"1200",3,4648.88177737617,"13",1
"1720",4,1698.83211999006,"13",1
"2238",5,3539.04676125190,"13",1
"210",1,6808.37162143903,"14",1
"732",2,3308.32788124365,"14",1
"1252",3,5268.36344413345,"14",1
"1771",4,3434.96942433935,"14",1
"2290",5,2192.25585266932,"14",1
"366",1,3322.78319082796,"3",2
"888",2,2366.48150512545,"3",2
"1408",3,4011.72602866621,"3",2
"1926",4,2643.83752088197,"3",2
"2445",5,2472.27393143077,"3",2
"418",1,6126.26448365065,"4",2
"940",2,3027.26562525717,"4",2
"1459",3,3240.28646612406,"4",2
"1977",4,1696.80688961297,"4",2
"2498",5,3119.90212642531,"4",2
"472",1,5115.48361235151,"5",2
"991",2,3283.88992727592,"5",2
"1511",3,3309.50827948859,"5",2
"2031",4,2035.30987368711,"5",2
"2552",5,6509.69239840145,"5",2
"4",1,5605.23293770075,"10",2
"522",2,4230.53230590663,"10",2
"1042",3,3734.11714958327,"10",2
"1562",4,3047.22768662204,"10",2
