Week,Category,Price,Spec
0,0,2.544654655,Plaice
1,0,2.324569185,Plaice
2,0,2.251765766,Plaice
3,0,2.273532756,Plaice
4,0,2.331684133,Plaice
5,0,2.233134187,Plaice
6,0,2.334203266,Plaice
7,0,2.321928556,Plaice
8,0,2.422787042,Plaice
9,0,2.466099099,Plaice
10,0,1.14,Plaice
11,0,2.588510864,Plaice
12,0,2.571510447,Plaice
13,0,2.59472803,Plaice
14,0,2.541517978,Plaice
15,0,2.539746348,Plaice
16,0,2.533869214,Plaice
17,0,2.357591163,Plaice
18,0,2.470649487,Plaice
19,0,2.467492384,Plaice
20,0,2.550303581,Plaice
21,0,3.47,Plaice
22,0,3.15,Plaice
23,0,2.524809883,Plaice
24,0,2.574427738,Plaice
25,0,2.547309883,Plaice
26,0,2.381329676,Plaice
27,0,2.57,Plaice
28,0,2.26,Plaice
29,0,2.264848335,Plaice
30,0,2.158692595,Plaice
31,0,2.298923661,Plaice
32,0,2.333825467,Plaice
33,0,2.30894406,Plaice
34,0,2.391294221,Plaice
35,0,2.428165766,Plaice
36,0,2.467328266,Plaice
37,0,2.428248524,Plaice
38,0,2.382618913,Plaice
39,0,2.371112988,Plaice
40,0,2.398975642,Plaice
41,0,2.421160503,Plaice
42,0,2.63,Plaice
43,0,2.58,Plaice
44,0,2.590935834,Plaice
45,0,2.555919612,Plaice
46,0,2.465135845,Plaice
47,0,2.605684465,Plaice
48,0,2.437861004,Plaice
49,0,2.472351132,Plaice
50,0,2.39954955,Plaice
51,0,2.463543544,Plaice
52,0,2.652432432,Plaice
0,1,2.25275,Plaice
1,1,1.744909091,Plaice
2,1,1.499189189,Plaice
3,1,1.369493671,Plaice
4,1,1.355925926,Plaice
5,1,1.39988764,Plaice
6,1,1.636034483,Plaice
7,1,1.874683544,Plaice
8,1,1.919883721,Plaice
9,1,2.168933333,Plaice
10,1,2.38962963,Plaice
11,1,2.393939394,Plaice
12,1,2.470428571,Plaice
13,1,2.651388889,Plaice
14,1,2.898860759,Plaice
15,1,3.2731,Plaice
16,1,3.305384615,Plaice
17,1,3.272424242,Plaice
18,1,3.273043478,Plaice
19,1,3.363684211,Plaice
20,1,3.259166667,Plaice
21,1,3.3427,Plaice
22,1,3.340927835,Plaice
23,1,3.236442308,Plaice
24,1,3.197387387,Plaice
25,1,3.135405405,Plaice
26,1,3.18312,Plaice
27,1,3.245794393,Plaice
28,1,3.52622449,Plaice
29,1,3.881354167,Plaice
30,1,3.663376623,Plaice
31,1,3.757380952,Plaice
32,1,3.22483871,Plaice
33,1,3.136229508,Plaice
34,1,3.086880734,Plaice
35,1,3.102568807,Plaice
36,1,3.176811594,Plaice
37,1,2.94982906,Plaice
38,1,2.9565625,Plaice
39,1,2.952868852,Plaice
40,1,2.758415842,Plaice
41,1,2.733207547,Plaice
42,1,2.745555556,Plaice
43,1,2.800782609,Plaice
44,1,2.912769231,Plaice
45,1,2.669009009,Plaice
46,1,2.592169811,Plaice
47,1,2.585192308,Plaice
48,1,2.233394495,Plaice
49,1,2.039357798,Plaice
50,1,1.844146341,Plaice
51,1,1.785294118,Plaice
52,1,1.8904,Plaice
0,2,2.007619048,Plaice
1,2,1.507295597,Plaice
2,2,1.386106195,Plaice
3,2,1.311981982,Plaice
4,2,1.371838235,Plaice
5,2,1.376166667,Plaice
6,2,1.527924528,Plaice
7,2,1.620165289,Plaice
8,2,1.765157895,Plaice
9,2,1.858529412,Plaice
10,2,2.033333333,Plaice
11,2,2.034537815,Plaice
12,2,2.144237288,Plaice
13,2,2.17234375,Plaice
14,2,2.372110092,Plaice
15,2,2.551454545,Plaice
16,2,2.443333333,Plaice
17,2,2.5865625,Plaice
18,2,2.783597122,Plaice
19,2,2.660472973,Plaice
20,2,2.830584416,Plaice
21,2,2.61866242,Plaice
22,2,2.685562914,Plaice
23,2,2.582209302,Plaice
24,2,2.513295455,Plaice
25,2,2.523636364,Plaice
26,2,2.446601307,Plaice
27,2,2.495166667,Plaice
28,2,2.509593023,Plaice
29,2,2.78288,Plaice
30,2,2.821666667,Plaice
31,2,2.816879433,Plaice
32,2,2.6225,Plaice
33,2,2.543028169,Plaice
34,2,2.604,Plaice
35,2,2.669527027,Plaice
36,2,2.632171429,Plaice
37,2,2.605344828,Plaice
38,2,2.543668639,Plaice
39,2,2.594689266,Plaice
40,2,2.471785714,Plaice
41,2,2.43251462,Plaice
42,2,2.388553459,Plaice
43,2,2.407315436,Plaice
44,2,2.369836957,Plaice
45,2,2.224012739,Plaice
46,2,2.207701863,Plaice
47,2,2.145530726,Plaice
48,2,1.889207317,Plaice
49,2,1.761954887,Plaice
50,2,1.595,Plaice
51,2,1.581081081,Plaice
52,2,1.758571429,Plaice
0,3,1.986909091,Plaice
1,3,1.602375,Plaice
2,3,1.488981481,Plaice
3,3,1.40266129,Plaice
4,3,1.42733945,Plaice
5,3,1.441111111,Plaice
6,3,1.697128713,Plaice
7,3,1.63034188,Plaice
8,3,1.710956522,Plaice
9,3,1.90016129,Plaice
10,3,2.055420561,Plaice
11,3,2.050756303,Plaice
12,3,2.057795276,Plaice
13,3,2.091171875,Plaice
14,3,2.123046358,Plaice
15,3,2.123109244,Plaice
16,3,1.99088,Plaice
17,3,2.041583333,Plaice
18,3,2.173566879,Plaice
19,3,2.178571429,Plaice
20,3,2.197358491,Plaice
21,3,2.271811594,Plaice
22,3,2.320650888,Plaice
23,3,2.205540541,Plaice
24,3,2.208484848,Plaice
25,3,2.114039735,Plaice
26,3,2.049878788,Plaice
27,3,1.950299401,Plaice
28,3,1.923935484,Plaice
29,3,1.897265625,Plaice
30,3,1.898813559,Plaice
31,3,1.948,Plaice
32,3,1.914362416,Plaice
33,3,1.99621118,Plaice
34,3,1.921192053,Plaice
35,3,2.094522293,Plaice
36,3,2.082663317,Plaice
37,3,2.021771429,Plaice
38,3,1.998682635,Plaice
39,3,2.059775281,Plaice
40,3,2.029038462,Plaice
41,3,2.014597701,Plaice
42,3,2.071474359,Plaice
43,3,2.166315789,Plaice
44,3,2.017175573,Plaice
45,3,2.050805369,Plaice
46,3,2.058120301,Plaice
47,3,2.0272,Plaice
48,3,1.885639098,Plaice
49,3,1.790294118,Plaice
50,3,1.722222222,Plaice
51,3,1.749473684,Plaice
52,3,1.9764,Plaice
0,4,1.898888889,Plaice
1,4,1.678803419,Plaice
2,4,1.606,Plaice
3,4,1.62776699,Plaice
4,4,1.685918367,Plaice
5,4,1.587368421,Plaice
6,4,1.6884375,Plaice
7,4,1.676162791,Plaice
8,4,1.777021277,Plaice
9,4,1.820333333,Plaice
